nom,prix,remise,code,EAN 13,référence fabricant,description
"
              Outil multifonctions sans fil GE-HC 18 Li T - Solo (sans batterie, ni chargeur) - EINHELL           ",172.92,"-8,48%",B4498600,4006825601275,3410800,"Le puissant outil multifonctions sans fil GE-HC 18 Li T – Solo permet de couper à partir du sol, sans effort et indépendamment du réseau électrique, les branches et les haies les plus hautes. Le guide-chaîne et la chaîne OREGON permettent une coupe nette. Le graissage automatique de la chaîne et son changement sans outil assurent une bonne maniabilité. Les lames découpées au laser et affûtées au diamant du taille-haies assurent des résultats de coupe impeccables. Les différentes possibilités de réglage permettent d’adapter l’outil multifonctions à chaque situation de travail."
"
              Mortaiseuse à méches - 2200W - 400V - Holzmann          ",2726,,B8278300,9120039904139,HOL-LBM250C_400V,"Guide d´onglet, 2 presseurs excentriques, mandrin Wescott 0-20mm, protection moteur, rallonge extensible, dispositif perçage."
"
              Outil multifonctions TC-MG 250 CE - EINHELL           ",61.75,"-11,71%",B8118000,4006825665697,EIN-4465185,"L’outil multifonctions TC-MG 250 CE séduit par ses fonctionnalités : moteur de 250 W, variateur électronique pour une utilisation adaptée aux matériaux et aux applications, électronique constante pour une performance stable et interrupteur avec fonction de verrouillage. Le porte-outils magnétique permet 12 réglages différents pour un changement facile et un positionnement optimal des accessoires. L’outil multifonctions présente un angle d’oscillation de 3°. L’outil comprend de série un système pour l’aspiration des poussières qui se monte sans outil, un plateau de ponçage triangulaire, 9 feuilles abrasives (3 x P60, 3 x P80, 3 x P120), un grattoir, une lame plongeante et une clé Allen pour le changement d’outil."
"
              Grattoir rigide HCS, 52 mm - Metabo          ",22.08,,B8002700,4007430329110,MET-626961000,
"
              Outil multifonctions 12 V MT 12 Powermaxx coffret Metabox - Metabo          ",275.63,"-8,11%",B7825200,4061792227514,MET-613089500,"Outil multifonctions sans fil oscillant haute performance, aussi efficace qu’une machine filaire"
"
              Outil multifonctions 18 V sans fil MT 18 LTX BL QSL Pick+Mix - sans batterie ni chargeur - Metabo          ",396.26,"-0,93%",B7601500,4061792206380,613088830,"Outil multifonctions sans fil oscillant haute performance, aussi efficace qu’une machine filaire"
"
              Pistolet à air chaud HGS 22-630 - 2200W - Débit d'air 150/500 l/min - 0,65 kg - Metabo          ",217.02,"-31,3%",B6817800,4061792185920,MET-604063000,"Forme droite pratique pour une position de travail confortable, par ex. lors des travaux au sol"
"
              Pistolet à air chaud HG 23-650 LCD - 2300W - Débit d'air 150/500 l/min - 0,7 kg - Coffret Metabox - Metabo          ",215.05,"-40,51%",B6817700,4061792186095,MET-603065500,Pistolet à air chaud précis avec écran LCD pour le réglage précis de la température et du débit d'air en fonction des
"
              Pistolet à air chaud HG 23-650 LCD - 2300W - Débit d'air 150/500 l/min - 0,7 kg - Metabo          ",189.91,"-43,33%",B6817600,4061792185913,MET-603065000,Pistolet à air chaud précis avec écran LCD pour le réglage précis de la température et du débit d'air en fonction des
"
              Pistolet à air chaud HG 20-600 - 2000W - Débit d'air 150/500 l/min - 0,62 kg - Coffret Metabox - Metabo          ",184.54,"-30,81%",B6817500,4061792186057,MET-602066500,Pistolet à air chaud polyvalent avec molette de réglage pour un réglage facile et en continu de la température
